address,slice_amount
0x0000000000000000000000000000000000000000,0
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,0
0x00f4996324943D7e8497ce6a1Cf88969a0B08A24,0
0x01298D8c3C581744A7985D91deA5FbCB9f4F58ec,0
0x026247030937744C72544556faa78EDbEA487265,0
0x04C89222715C4C45b9aa9Efe14D2538776a6003E,861549454647475927
0x086Da66f045EDC6238e762634680e2a4fd6ea17F,0
0x08B48e886349a289da156515083c119962395055,0
0x0c3fCda037ad897815Ce5B6d5f517133bed37195,16224132303368362254
0x0C6AC3FCEA667fD6C62483cE1DBbce6f6ce0fB1f,0
0x0ccA4E5FD4f2Ec0beC7B246e1D1865524A49e1b9,0
0x0D3d681762f9eda9541faB6AcfB17c50025b630B,0
0x0d4b669675aF57C8dB631263731De924f45E895E,0
0x0dD16908663523E03C11C0dC14FA4276C1010a6b,95142162628418987027
0x0eb05D820690d5431e77Da717dB825aFD83C9077,0
0x0F045a0D77D24c326316E0315354E7Df28B4aC50,0
0x181cA3bAf264B228bd39434f8E080033Bd1E1201,0
0x1a6db538813Dbfa63E1F19f8804447187B7D401d,0
0x1d0dEC082d0e6F07dC34AA17C0B55D630f0704a5,0
0x1D40cF4C11BdC78515E121f694C479F1bdA4696d,0
0x1e57d972AE6Bc70c101996f0d398BB683Ee052bf,245457148533499198460
0x1F9b4F7A0605E4574562938CBdBFdFfe8605d4E2,0
0x20A1A940FA696513bF938FaC130F5272F38c0DC8,29981702740242262612
0x215C44804627920a72692b20c6DC80deBa946cF2,0
0x22Ef6D99F400cac50CEAb09e6ac3AE6882ba0B6c,0
0x246BC9695D9CDca034D648EC1Db3C1e74F0A6CaC,0
0x28579946078515C7C6abcc57F3e1088fbF63B0d5,0
0x286Fa98383c81623D918ef58BA0A5EDe6EB67A54,0
0x2C9139D5eC9206Bd779A71ecdB927C8cD42E9639,0
0x2E6a4C895E3a466f86cc00d9f8B33A1eeCe3fc5a,0
0x2eA8E4c3768FDb6677548F8AF2FfDAA0BaC630BA,0
0x2EC8db4C68717b9101578a3760cD70D859587b43,0
0x30040b54554928929E94eD3f0b9282f666e950eD,0
0x3006ef6777ccC79C3aF305101Fe0B3D14bd47b59,0
0x354D6F97482C3e533bbdd3AdF65570B3D172C9aD,0
0x386e96E10447095A99B919DefC955C6D4835C279,0
